"sid","link_name","borough","polyline","link_length_ft","aggregation_period_sec","n_samples","median_calculation_timestamp","median_tt_sec","median_speed_fps"
"001004","42nd Street - Eastbound - Lexington Ave to 3rd Ave","Manhattan","agvwFxmobMfCeI","514.26","900","13","9/21/2026 11:21:24","228","2.26"
"001011","42nd Street - Westbound - Lexington Ave to Madison Ave","Manhattan","_hvwF|lobMmGhS","1024.34","900","4","9/21/2026 11:21:24","418.5","2.45"
"002001","Lexington Avenue - Southbound - 49th St to 42nd St","Manhattan","ecwwFdynbMlZhS","1836.18","900","35","9/21/2026 11:21:24","206","8.91"
"002012","49th Street - Westbound - Lexington Ave to Madison Ave","Manhattan","ecwwFdynbMgC~HgC~H","1013.97","900","2","9/21/2026 11:21:24","270","3.76"
"003002","Lexington Avenue - Southbound - 57th St to 49th St","Manhattan","ybxwF`bnbM??vRxMzJfG","2109.11","900","6","9/21/2026 11:21:24","580","3.64"
"003006","57th Street - Eastbound - Lexington Ave to 3rd Ave","Manhattan","kbxwFlbnbMfAiD`AuC","508.77","900","4","9/21/2026 11:21:24","176.5","2.88"
"004001","42nd Street - Westbound - 3rd Ave to Lexington Ave","Manhattan","ucvwF`cobMiCzH","504.02","900","12","9/21/2026 11:21:24","50","10.08"
"005002","49th Street - Westbound - 3rd Ave to Lexington Ave","Manhattan","a_wwFfonbMcC|H","501.04","900","15","9/21/2026 11:21:24","107","4.68"
"005006","3rd Avenue - Northbound - 49th St to 57th St","Manhattan","a_wwFfonbMq^aV","2105.67","900","12","9/21/2026 11:21:24","705","2.99"
"006003","57th Street - Westbound - 3rd Ave to Lexington Ave","Manhattan","a_xwFxwmbMeC|H","502.77","900","19","9/21/2026 11:21:24","556","0.9"
"006055","57th Street - Eastbound - 3rd Ave to 2nd Ave","Manhattan","_~wwFhxmbMxD}L","703.44","900","17","9/21/2026 11:21:24","184","3.82"
"011001","42nd Street - Eastbound - Madison Ave to Lexington Ave","Manhattan","qovwFxapbMxCiJtBuG","1014.02","900","28","9/21/2026 11:21:24","426","2.38"
"011012","Madison Avenue - Northbound - 42nd St to 49th St","Manhattan","_pvwFpapbMaG{DyJuGwFqD","1841.72","900","8","9/21/2026 11:21:24","138.5","13.3"
"011014","42nd Street - Westbound - Madison Ave to 5th Ave","Manhattan","mpvwFfapbMgC`I","509.42","900","19","9/21/2026 11:21:24","86","5.92"
"014011","42nd Street - Eastbound - 5th Ave to Madison Ave","Manhattan","wsvwF|kpbMdCcI","510.08","900","17","9/21/2026 11:21:24","122","4.18"
"014017","42nd Street - Westbound - 5th Ave to 6th Ave","Manhattan","utvwFhkpbMoGdS","1021.24","900","36","9/21/2026 11:21:24","93","10.98"
"015014","5th Avenue - Southbound - 49th St to 42th St","Manhattan","}owwFhwobMvFxDzFrD`KzG","1848.97","900","8","9/21/2026 11:21:24","286.5","6.45"
"015018","49th Street - Westbound - 5th Ave to 6th Ave","Manhattan","}owwFhwobMoGdS","1021.19","900","11","9/21/2026 11:21:24","197","5.18"
"016015","5th Avenue - Southbound - 57th St to 49th St","Manhattan","ooxwFh`obMdC`B|BxAxB`BzB~A`CpAvFtD|BxA","2105.11","900","5","9/21/2026 11:21:24","391","5.38"
"016019","57th Street - Westbound - 5th Ave to 6th Ave","Manhattan","_pxwF~_obMoGdS","1021.13","900","8","9/21/2026 11:21:24","63","16.21"
"017014","42nd Street - Eastbound - 6th Ave to 5th Ave","Manhattan","i|vwFb`qbMpGeS","1023.02","900","17","9/21/2026 11:21:24","440","2.33"
"017018","6th Avenue - Northbound - 42nd St to 49th St","Manhattan","y|vwFx_qbMaK}GwFqDyFwD","1844.4","900","22","9/21/2026 11:21:24","446.5","4.13"
"017059","42nd Street - Westbound - 6th Ave to 7th Ave","Manhattan","e}vwFl_qbMmFtP","894.47","900","9","9/21/2026 11:21:24","48","18.63"
"018037","49th Street - Westbound - 6th Ave to 7th Ave","Manhattan","mxwwFpkpbMoF|P","905.87","900","10","9/21/2026 11:21:24","142.5","6.36"
"019016","57th Street - Eastbound - 6th Ave to 5th Ave","Manhattan","qwxwFztobMnGgS","1023.54","900","12","9/21/2026 11:21:24","990","1.03"
"019056","57th Street - Westbound - 6th Ave to 7th Ave","Manhattan","qxxwFdtobMoFvP","898.57","900","28","9/21/2026 11:21:24","60.5","14.85"
"020004","3rd Avenue - Northbound - 34th St to 42nd St","Manhattan","ucuwFfzobMaKuGqFmD_KyG","2106.28","900","5","9/21/2026 11:21:24","849","2.48"
"020008","34th Street - Westbound - 3rd Ave to Madison Ave","Manhattan","eduwFzyobMeCbIgCbIgC`I","1531.44","900","26","9/21/2026 11:21:24","126","12.15"
"020103","34th Street - Eastbound - 3rd Ave to 2nd Ave","Manhattan","gcuwFpzobMxD}L","703.56","900","5","9/21/2026 11:21:24","430","1.64"
"021003","Lexington Avenue - Southbound - 72nd St to 57th St","Manhattan","e~ywFzvlbMbOrJrNjJxFtDxRnM","3956.84","900","5","9/21/2026 11:21:24","494","8.01"
"021193","72nd Street - Eastbound - Lexington Ave to 2nd Ave","Manhattan","}}ywF~vlbMrC_JrAgEn@wAl@uB","1205.26","900","33","9/21/2026 11:21:24","116","10.39"
"023017","6th Avenue - Northbound - 34th St to 42nd St","Manhattan","c}uwFnvqbMu^wU","2105.46","900","26","9/21/2026 11:21:24","408.5","5.15"
"023060","34th Street - Westbound - 6th Ave to 7th Ave","Manhattan","q}uwFdvqbMqF~P","910.15","900","49","9/21/2026 11:21:24","99","9.19"
"024026","Belt Pkwy - Westbound - Cross Bay Blvd to Pennsylvania Ave","Brooklyn","grewFbeuaMfH`UFb@rEpMtHtQlBrDvEpHrO|SdJ`NzAfCnIpOtXjn@hBjDdGhJdE|EjE~DnEdDdIlE","12915.87","900","287","9/21/2026 11:21:24","109","118.49"
"026034","Belt Pkwy - Westbound - Erskine St to Flatbush Ave","Queens","ccawFb~{aMhf@tRpGhDpHbGvHfI|FtI|b@rv@tE`GxD~CvCnBdDvA|FlA|D\hE@`Rs@hLK|HDrH\dDb@pDt@pGdBjCb@rRpBjBv@fCdBzA|A`FpHbBbE|C~JbCpFfDlErEhD","20198.01","900","446","9/21/2026 11:21:24","339","59.58"
"027034","Belt Pkwy - Eastbound - Ocean Pkwy to Flatbush","Brooklyn","mpuvFtrmbMSsIkAwSoBmUU}IBgJTsEdA{LL_HOaMi@{O_@qFcAsOeDu]QoGLiG|@gHrGk[pAsHv@yJPqRg@gO{AoLoCwKkIqReDiFuCoCeG{CkGaAiFDmInAqELaH_B","19771.69","900","28","9/21/2026 11:21:24","236","83.78"
"028029","Belt Pkwy - Eastbound - Pennsylvania Ave to Cross Bay Blvd","Brooklyn","ybawF`}{aMwH_EkHiGyFkGgG}IeHcNaMoYsFmLuRq\wE{GcJyL_I{LkBsDkC{F{J}W_IoWg@yB","13098.76","900","293","9/21/2026 11:21:24","117","111.96"
"034028","Belt Pkwy - Eastbound - Flatbush Ave to Erskine St","Brooklyn","u_xvFlbbbMcEwC{EkGmBmEgEcNwD}GwBgC}FaE_Cu@gQiBeRkEoLq@uVCyRr@eGGiFs@uEsA}FyDsEkE_DgE{Vgd@kLiSyFqIwCkCqHoGgKkGm[cMwI{D","20229.18","900","63","9/21/2026 11:21:24","304","66.54"
"035027","Belt Pkwy - Eastbound - Bay 8th St to Ocean Pkwy","Brooklyn","}kyvFdzwbMrDsQlBaMhCwKjEkLpK}RjEwHpCiIlCgQlBeG~CkGvEwGlF}FhGqFdF_DzMcFxE_DpG}IfBcFbB_IpBcNbCiWp@yLBqJaAuNqCeWy@{R","17580.18","900","219","9/21/2026 11:21:24","227","77.45"
"035202","Belt Pkwy - Westbound - Bay 8th St to 68th St","Brooklyn","smyvFv{wbMmDbQc@xHTfYkAnJmCzGyFpJyExDcHtDwHdFuL`OsI~EkHtAqb@jEaUEq[qCky@w[","16888.42","900","233","9/21/2026 11:21:24","191","88.42"
"037038","49th Street - Westbound - 7th Ave to 8th Ave","Manhattan","_`xwFp}pbMkFnP","885.4","900","41","9/21/2026 11:21:24","160","5.53"
"037059","7th Avenue - Southbound - 49th St to 42nd St","Manhattan","_`xwFn}pbMxN~I`K|G","1850.67","900","9","9/21/2026 11:21:24","879","2.11"
"038039","49th Street - Westbound - 8th Ave to 9th Ave","Manhattan","igxwF~nqbMsF~P","911.8","900","49","9/21/2026 11:21:24","43","21.2"
"038054","8th Avenue - Northbound - 49th St to 57th St","Manhattan","kgxwF`oqbM}B{A}B{A{ByA}B{A{ByA}B}A}ByAeCaB","2108.84","900","17","9/21/2026 11:21:24","127","16.61"
"039049","9th Avenue - Southbound - 49th St to 42nd St","Manhattan","}nxwF|`rbMxNhJ~JvG","1849.95","900","40","9/21/2026 11:21:24","209","8.85"
"039085","49th Street - Westbound - 9th Ave to 10th Ave","Manhattan","{nxwFx`rbMoFvP","898.58","900","38","9/21/2026 11:21:24","67","13.41"
"040041","1st Avenue - Northbound - 49th St to 57th St","Manhattan","yrvwFnrmbMu^cV","2113.41","900","2","9/21/2026 11:21:24","70","30.19"
"040046","49th Street - Westbound - 1st Ave to 2nd Ave","Manhattan","yrvwFlrmbMgEtM","744.88","900","68","9/21/2026 11:21:24","78.5","9.49"
"041203","57th St - westbound - 1 Ave to QBB UL Entrance","Manhattan","qrwwFb{lbMcCtH","492.42","900","6","9/21/2026 11:21:24","15","32.83"
"043051","72nd Street - Westbound - Columbus Ave (9th Ave) to Broadway","Manhattan","ij{wFb~obMoFtPe@|A","1043.2","900","7","9/21/2026 11:21:24","35","29.81"
"043058","9th Avenue - Southbound - 72nd St to 57th St","Manhattan","yi{wFn~obMtZhStJrG~BtAxB|AbKtG","3955.13","900","3","9/21/2026 11:21:24","771","5.13"
"044020","3rd Avenue - Northbound - 23rd St to 34th St","Manhattan","sxswFrypbMaj@k^","2871.1","900","5","9/21/2026 11:21:24","302","9.51"
"044105","23rd Street - Eastbound - 3rd Ave to 2nd Ave","Manhattan","_xswF~ypbMzDqL","690.93","900","36","9/21/2026 11:21:24","116.5","5.93"
"044204","23rd Street- westbound - 3 ave to madison ave","Manhattan","_yswFvypbMsKx\","1509.65","900","17","9/21/2026 11:21:24","168","8.99"
"046005","49th Street - Westbound - 2nd Ave to 3rd Ave","Manhattan","ayvwFbanbMyD~L","705.9","900","11","9/21/2026 11:21:24","206","3.43"
"046042","2nd Avenue - Southbound - 49th St to 42nd St","Manhattan","ayvwFbanbM|L|HxLdI","1848.17","900","6","9/21/2026 11:21:24","284","6.51"
"049109","42nd Street - Westbound - 9th Ave to 10th Ave","Manhattan","ctwwFhtrbMkFzP","899.94","900","3","9/21/2026 11:21:24","90","10"
"049119","9th Avenue - Southbound - 42nd St to 37th St","Manhattan","cswwF~trbMnRbM","1298.3","900","56","9/21/2026 11:21:24","131.5","9.87"
"050106","23rd Street - Eastbound - 8th Ave to 7th Ave","Manhattan","m`uwF`zsbMhFwP","893.5","900","2","9/21/2026 11:21:24","360","2.48"
